Quantize 290 params to Q4_0
Quantize param model.embed_tokens.weight to F32	  size:544538624
Quantize param model.layers.0.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.0.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.0.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.0.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.0.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.0.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.0.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.0.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.0.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.0.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.0.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.0.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.1.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.1.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.1.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.1.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.1.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.1.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.1.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.1.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.1.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.1.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.1.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.1.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.10.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.10.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.10.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.10.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.10.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.10.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.10.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.10.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.10.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.10.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.10.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.10.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.11.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.11.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.11.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.11.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.11.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.11.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.11.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.11.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.11.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.11.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.11.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.11.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.12.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.12.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.12.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.12.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.12.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.12.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.12.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.12.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.12.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.12.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.12.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.12.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.13.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.13.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.13.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.13.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.13.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.13.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.13.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.13.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.13.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.13.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.13.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.13.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.14.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.14.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.14.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.14.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.14.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.14.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.14.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.14.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.14.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.14.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.14.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.14.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.15.input_layernorm.weight to F32	  size:3584
