Quantize param model.embed_tokens.weight to F32	  size:544538624
Quantize param model.layers.0.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.0.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.0.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.0.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.0.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.0.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.0.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.0.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.0.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.0.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.0.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.0.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.1.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.1.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.1.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.1.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.1.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.1.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.1.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.1.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.1.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.1.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.1.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.1.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.10.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.10.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.10.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.10.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.10.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.10.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.10.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.10.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.10.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.10.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.10.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.10.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.11.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.11.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.11.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.11.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.11.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.11.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.11.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.11.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.11.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.11.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.11.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.11.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.12.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.12.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.12.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.12.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.12.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.12.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.12.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.12.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.12.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.12.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.12.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.12.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.13.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.13.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.13.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.13.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.13.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.13.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.13.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.13.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.13.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.13.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.13.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.13.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.14.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.14.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.14.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.14.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.14.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.14.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.14.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.14.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.14.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.14.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.14.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.14.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.15.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.15.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.15.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.15.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.15.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.15.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.15.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.15.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.15.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.15.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.15.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.15.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.16.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.16.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.16.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.16.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.16.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.16.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.16.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.16.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.16.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.16.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.16.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.16.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.17.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.17.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.17.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.17.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.17.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.17.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.17.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.17.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.17.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.17.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.17.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.17.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.18.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.18.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.18.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.18.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.18.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.18.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.18.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.18.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.18.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.18.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.18.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.18.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.19.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.19.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.19.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.19.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.19.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.19.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.19.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.19.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.19.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.19.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.19.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.19.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.2.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.2.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.2.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.2.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.2.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.2.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.2.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.2.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.2.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.2.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.2.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.2.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.20.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.20.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.20.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.20.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.20.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.20.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.20.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.20.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.20.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.20.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.20.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.20.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.21.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.21.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.21.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.21.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.21.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.21.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.21.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.21.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.21.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.21.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.21.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.21.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.22.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.22.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.22.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.22.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.22.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.22.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.22.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.22.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.22.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.22.self_attn.q_proj.weight to Q4_K	  size:451584
